,0,1,2,3
20,"['ensg00000131711', 'ensg00000135631', 'ensg00000122786', 'ensg00000196569', 'ensg00000131236', 'ensg00000058262', 'ensg00000047849', 'ensg00000137177', 'ensg00000164442', 'ensg00000117394']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.06461, 0.1537, 0.1537, 0.1537, 0.1537, 0.1537, 0.1537, 0.1537, 0.1537]","[0, 0.04547, 0.2296, 0.2253, 0.2335, 0.2461, 0.2523, 0.2665, 0.2964, 0.3192, 0.3472, 0.3472, 0.3472, 0.3472, 0.3472, 0.3472, 0.3472, 0.3472]","[0, 0.02192, 0.1801, 0.1828, 0.2934, 0.2927, 0.3014, 0.3337, 0.9692, 0.9592, 0.957, 0.957, 0.957, 0.957, 0.957, 0.957, 0.957, 0.957]"
21,"['ensg00000047849', 'ensg00000130508', 'ensg00000162734', 'ensg00000234745', 'ensg00000083444', 'ensg00000131236', 'ensg00000154553', 'ensg00000151729', 'ensg00000145817', 'ensg00000151414']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1133, 0.1133, 0.1133, 0.1133, 0.1133, 0.1133, 0.1133, 0.1133]","[0, 0.04289, 0.1034, 0.1873, 0.2199, 0.2527, 0.2627, 0.2745, 0.292, 0.3129, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352]","[0, 0.1459, 0.1556, 0.2132, 0.2358, 0.3863, 0.6332, 0.6555, 0.6846, 0.8839, 0.9556, 0.9556, 0.9556, 0.9556, 0.9556, 0.9556, 0.9556, 0.9556]"
22,"['ensg00000131711', 'ensg00000196569', 'ensg00000047849', 'ensg00000143324', 'ensg00000143799', 'ensg00000234745', 'ensg00000092820', 'ensg00000135631', 'ensg00000106397', 'ensg00000055208']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0446, 0.0446, 0.0446, 0.0446, 0.0446, 0.0446, 0.0446, 0.0446]","[0, 0.06503, 0.2475, 0.2452, 0.2557, 0.2572, 0.2849, 0.318, 0.3426, 0.3575, 0.3825, 0.3825, 0.3825, 0.3825, 0.3825, 0.3825, 0.3825, 0.3825]","[0, 0.01766, 0.07582, 0.1097, 0.3199, 0.3978, 0.4365, 0.4386, 0.7365, 0.7176, 0.7016, 0.7016, 0.7016, 0.7016, 0.7016, 0.7016, 0.7016, 0.7016]"
23,"['ensg00000131016', 'ensg00000112715', 'ensg00000138448', 'ensg00000105835', 'ensg00000204525', 'ensg00000168374', 'ensg00000116133', 'ensg00000135074', 'ensg00000069275', 'ensg00000058668']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02814, 0.02814, 0.02814, 0.02814, 0.02814, 0.02814, 0.02814, 0.02814]","[0, 0.1994, 0.1972, 0.1996, 0.2568, 0.2628, 0.2666, 0.2756, 0.2903, 0.3147, 0.4897, 0.4897, 0.4897, 0.4897, 0.4897, 0.4897, 0.4897, 0.4897]","[0, 0.2051, 0.1997, 0.2019, 0.3091, 0.3229, 0.3441, 0.3757, 0.3797, 0.4275, 0.4876, 0.4876, 0.4876, 0.4876, 0.4876, 0.4876, 0.4876, 0.4876]"
24,"['ensg00000159840', 'ensg00000142669', 'ensg00000137177', 'ensg00000105835', 'ensg00000034510', 'ensg00000196569', 'ensg00000130508', 'ensg00000168374', 'ensg00000047849', 'ensg00000196352']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.05461, 0.1841, 0.1841, 0.1841, 0.1841, 0.1841, 0.1841, 0.1841, 0.1841]","[0, 0.1383, 0.2586, 0.256, 0.2546, 0.2544, 0.2654, 0.2778, 0.2963, 0.3324, 0.4178, 0.4178, 0.4178, 0.4178, 0.4178, 0.4178, 0.4178, 0.4178]","[0, 0.007126, 0.221, 0.2812, 0.298, 0.3783, 0.4331, 0.4341, 0.4966, 0.6124, 0.9648, 0.9648, 0.9648, 0.9648, 0.9648, 0.9648, 0.9648, 0.9648]"
25,"['ensg00000163681', 'ensg00000075426', 'ensg00000113504', 'ensg00000234745', 'ensg00000155380', 'ensg00000151729', 'ensg00000143149', 'ensg00000213719', 'ensg00000124831', 'ensg00000117385']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1222, 0.1222, 0.1222, 0.1222, 0.1222, 0.1222, 0.1222, 0.1222]","[0, 0.005222, 0.05565, 0.0613, 0.1914, 0.2457, 0.2873, 0.2962, 0.3097, 0.3281, 0.3542, 0.3542, 0.3542, 0.3542, 0.3542, 0.3542, 0.3542, 0.3542]","[0, 0.03319, 0.0461, 0.05228, 0.06286, 0.4093, 0.5293, 0.5867, 0.5738, 0.6116, 0.8335, 0.8335, 0.8335, 0.8335, 0.8335, 0.8335, 0.8335, 0.8335]"
26,"['ensg00000072682', 'ensg00000164442', 'ensg00000143384', 'ensg00000135074', 'ensg00000115414', 'ensg00000196569', 'ensg00000075624', 'ensg00000069275', 'ensg00000146112', 'ensg00000145730']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.04712, 0.1326, 0.1326, 0.1326, 0.1326, 0.1326, 0.1326, 0.1326, 0.1326]","[0, 0.06425, 0.0782, 0.2173, 0.2215, 0.2406, 0.2483, 0.2586, 0.2906, 0.3123, 0.3615, 0.3615, 0.3615, 0.3615, 0.3615, 0.3615, 0.3615, 0.3615]","[0, 0.05694, 0.6116, 0.6101, 0.6592, 0.649, 0.6301, 0.8127, 0.9358, 0.9219, 0.9845, 0.9845, 0.9845, 0.9845, 0.9845, 0.9845, 0.9845, 0.9845]"
27,"['ensg00000138448', 'ensg00000213719', 'ensg00000155380', 'ensg00000117385', 'ensg00000038382', 'ensg00000138829', 'ensg00000106397', 'ensg00000105974', 'ensg00000061938', 'ensg00000094975']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.09427, 0.1578, 0.1578, 0.1578, 0.1578, 0.1578, 0.1578, 0.1578, 0.1578]","[0, 0.001907, 0.09864, 0.1845, 0.2448, 0.3009, 0.3018, 0.3075, 0.3221, 0.3453, 0.3691, 0.3691, 0.3691, 0.3691, 0.3691, 0.3691, 0.3691, 0.3691]","[0, 0.001749, 0.1576, 0.1924, 0.268, 0.299, 0.3008, 0.5235, 0.6338, 0.7086, 0.6943, 0.6943, 0.6943, 0.6943, 0.6943, 0.6943, 0.6943, 0.6943]"
28,"['ensg00000151414', 'ensg00000144357', 'ensg00000196352', 'ensg00000034510', 'vardur (ms)', 'ensg00000234745', 'ensg00000047849', 'ensg00000135074', 'ensg00000074800', 'ensg00000114480']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.04939, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128]","[0, 0.1662, 0.1618, 0.1661, 0.191, 0.2387, 0.267, 0.2755, 0.2898, 0.3111, 0.3397, 0.3397, 0.3397, 0.3397, 0.3397, 0.3397, 0.3397, 0.3397]","[0, 0.1262, 0.1652, 0.1782, 0.2548, 0.3222, 0.524, 0.5133, 0.5053, 0.5058, 0.651, 0.651, 0.651, 0.651, 0.651, 0.651, 0.651, 0.651]"
29,"['ensg00000196352', 'ensg00000177606', 'ensg00000106366', 'ensg00000145817', 'ensg00000132780', 'ensg00000155366', 'ensg00000162433', 'ensg00000074800', 'ensg00000142669', 'ensg00000113657']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02246, 0.1025, 0.1025, 0.1025, 0.1025, 0.1025, 0.1025, 0.1025, 0.1025]","[0, 0.06201, 0.1739, 0.1979, 0.2054, 0.2096, 0.2233, 0.2409, 0.2934, 0.3158, 0.3446, 0.3446, 0.3446, 0.3446, 0.3446, 0.3446, 0.3446, 0.3446]","[0, 0.01465, 0.1305, 0.2381, 0.2663, 0.2686, 0.548, 0.6964, 0.7046, 0.8108, 0.8161, 0.8161, 0.8161, 0.8161, 0.8161, 0.8161, 0.8161, 0.8161]"
30,"['ensg00000144357', 'ensg00000143799', 'ensg00000138760', 'ensg00000143549', 'ensg00000152127', 'ensg00000163681', 'ensg00000162433', 'ensg00000137267', 'ensg00000003756', 'ensg00000116260']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02664, 0.1052, 0.1052, 0.1052, 0.1052, 0.1052, 0.1052, 0.1052, 0.1052]","[0, 0.1949, 0.2141, 0.214, 0.2146, 0.2263, 0.2728, 0.2807, 0.2945, 0.3148, 0.3444, 0.3444, 0.3444, 0.3444, 0.3444, 0.3444, 0.3444, 0.3444]","[0, 0.0895, 0.09008, 0.1155, 0.2749, 0.4785, 0.5051, 0.6456, 0.6298, 0.6731, 0.6897, 0.6897, 0.6897, 0.6897, 0.6897, 0.6897, 0.6897, 0.6897]"
31,"['ensg00000075624', 'ensg00000143149', 'ensg00000163681', 'ensg00000187678', 'ensg00000162734', 'ensg00000049323', 'ensg00000047849', 'ensg00000034510', 'ensg00000145817', 'ensg00000133657']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02402, 0.1119, 0.1119, 0.1119, 0.1119, 0.1119, 0.1119, 0.1119, 0.1119]","[0, 0.04343, 0.04621, 0.06175, 0.2032, 0.2073, 0.2727, 0.307, 0.323, 0.3536, 0.3875, 0.3875, 0.3875, 0.3875, 0.3875, 0.3875, 0.3875, 0.3875]","[0, 0.01794, 0.02212, 0.04022, 0.0526, 0.2014, 0.4414, 0.493, 0.688, 0.6741, 0.7531, 0.7531, 0.7531, 0.7531, 0.7531, 0.7531, 0.7531, 0.7531]"
32,"['ensg00000124831', 'ensg00000162433', 'ensg00000113657', 'ensg00000135074', 'ensg00000034510', 'ensg00000047849', 'ensg00000106631', 'ensg00000128595', 'ensg00000115758', 'ensg00000145730']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0134, 0.09373, 0.09373, 0.09373, 0.09373, 0.09373, 0.09373, 0.09373, 0.09373]","[0, 0.1507, 0.2098, 0.2059, 0.2108, 0.217, 0.2247, 0.2491, 0.2847, 0.3178, 0.3605, 0.3605, 0.3605, 0.3605, 0.3605, 0.3605, 0.3605, 0.3605]","[0, 0.08043, 0.09473, 0.5291, 0.5134, 0.5006, 0.488, 0.5195, 0.5965, 0.6414, 0.6534, 0.6534, 0.6534, 0.6534, 0.6534, 0.6534, 0.6534, 0.6534]"
33,"['ensg00000162734', 'ensg00000196352', 'ensg00000197965', 'ensg00000155380', 'ensg00000138448', 'ensg00000128591', 'ensg00000083444', 'ensg00000151414', 'ensg00000058262', 'ensg00000117450']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02924, 0.02924, 0.02924, 0.02924, 0.02924, 0.02924, 0.02924, 0.02924]","[0, 0.175, 0.1762, 0.1745, 0.1787, 0.2445, 0.2715, 0.3189, 0.3499, 0.367, 0.3877, 0.3877, 0.3877, 0.3877, 0.3877, 0.3877, 0.3877, 0.3877]","[0, 0.1295, 0.1269, 0.1515, 0.3347, 0.3836, 0.3872, 0.3913, 0.4056, 0.4203, 0.4387, 0.4387, 0.4387, 0.4387, 0.4387, 0.4387, 0.4387, 0.4387]"
